,OPEN,HIGH,LOW,CLOSE,RSI
2014-05-29 00:00:00.005,2051.84,2057.077,2039.238,2040.595,0.0
2014-05-30 00:00:00.005,2040.394,2046.96,2031.373,2039.212,0.0
2014-06-03 00:00:00.005,2039.196,2049.576,2037.3,2038.305,0.0
2014-06-04 00:00:00.005,2037.989,2038.481,2012.913,2024.834,0.0
2014-06-05 00:00:00.005,2019.442,2041.701,2016.175,2040.878,0.0
2014-06-06 00:00:00.005,2040.864,2041.573,2022.158,2029.956,0.0
2014-06-09 00:00:00.005,2024.942,2045.255,2023.198,2030.502,0.0
2014-06-10 00:00:00.005,2033.207,2052.765,2026.389,2052.532,0.0
2014-06-11 00:00:00.005,2049.128,2056.631,2045.407,2054.948,0.0
2014-06-12 00:00:00.005,2051.582,2057.105,2045.962,2051.713,0.0
2014-06-13 00:00:00.005,2049.206,2073.596,2048.618,2070.715,0.0
2014-06-16 00:00:00.005,2070.699,2087.322,2069.441,2085.983,0.0
2014-06-17 00:00:00.005,2080.482,2080.482,2064.666,2066.698,0.0
2014-06-18 00:00:00.005,2064.383,2066.913,2051.746,2055.519,0.0
2014-06-19 00:00:00.005,2054.62,2059.255,2017.653,2023.735,0.0
2014-06-20 00:00:00.005,2013.414,2027.148,2010.53,2026.674,0.0
2014-06-23 00:00:00.005,2026.226,2033.32,2022.917,2024.365,0.0
2014-06-24 00:00:00.005,2023.699,2034.707,2021.75,2033.931,0.0
2014-06-25 00:00:00.005,2030.433,2030.616,2018.36,2025.502,0.0
2014-06-26 00:00:00.005,2025.662,2040.754,2025.314,2038.677,0.0
2014-06-27 00:00:00.005,2031.907,2043.982,2025.073,2036.51,0.0
2014-06-30 00:00:00.005,2038.613,2052.342,2038.527,2048.327,0.0
2014-07-01 00:00:00.005,2051.225,2052.635,2041.937,2050.381,0.0
2014-07-02 00:00:00.005,2049.485,2060.595,2044.035,2059.418,0.0
2014-07-03 00:00:00.005,2051.632,2066.641,2048.081,2063.229,0.0
2014-07-04 00:00:00.005,2062.358,2065.078,2054.217,2059.375,0.0
2014-07-07 00:00:00.005,2058.128,2064.043,2050.887,2059.927,0.0
2014-07-08 00:00:00.005,2058.134,2064.433,2047.204,2064.021,0.0
2014-07-09 00:00:00.005,2061.635,2062.474,2037.601,2038.612,0.0
2014-07-10 00:00:00.005,2036.54,2045.527,2034.956,2038.342,0.0
2014-07-11 00:00:00.005,2033.869,2051.737,2033.004,2046.961,0.0
2014-07-14 00:00:00.005,2047.744,2067.342,2044.901,2066.646,0.0
2014-07-15 00:00:00.005,2065.9,2070.358,2059.679,2070.357,0.0
2014-07-16 00:00:00.005,2068.343,2075.493,2061.572,2067.276,0.0
2014-07-17 00:00:00.005,2062.888,2062.888,2046.189,2055.591,0.0
2014-07-18 00:00:00.005,2047.498,2067.233,2045.996,2059.067,0.0
2014-07-21 00:00:00.005,2057.767,2061.823,2049.175,2054.479,0.0
2014-07-22 00:00:00.005,2050.5,2078.085,2049.815,2075.481,0.0
2014-07-23 00:00:00.005,2074.195,2088.192,2072.229,2078.489,0.0
2014-07-24 00:00:00.005,2079.632,2107.946,2079.632,2105.062,0.0
