,OPEN,HIGH,LOW,CLOSE,MACD
2015-05-19 00:00:00.005,6785.711,6968.028,6782.207,6962.811,0.0
2015-05-20 00:00:00.005,6981.633,7085.22,6968.885,6987.93,0.0
2015-05-21 00:00:00.005,6998.939,7089.366,6987.537,7088.331,0.0
2015-05-22 00:00:00.005,7128.142,7237.471,7125.37,7234.701,0.0
2015-05-25 00:00:00.005,7237.557,7400.264,7230.429,7398.432,0.0
2015-05-26 00:00:00.005,7421.251,7475.223,7344.626,7469.044,0.0
2015-05-27 00:00:00.005,7491.919,7503.156,7392.315,7449.16,0.0
2015-05-28 00:00:00.005,7442.418,7468.502,7054.166,7084.481,0.0
2015-05-29 00:00:00.005,7084.649,7167.727,6909.463,7078.598,0.0
2015-06-01 00:00:00.005,7070.854,7352.786,7063.12,7348.963,0.0
2015-06-02 00:00:00.005,7348.908,7420.14,7290.782,7415.459,0.0
2015-06-03 00:00:00.005,7407.815,7433.847,7307.184,7389.008,0.0
2015-06-04 00:00:00.005,7387.783,7459.547,7093.843,7457.739,0.0
2015-06-05 00:00:00.005,7508.565,7554.086,7385.957,7506.355,0.0
2015-06-08 00:00:00.005,7516.196,7670.679,7475.528,7639.024,0.0
2015-06-09 00:00:00.005,7651.811,7657.59,7529.343,7597.503,0.0
2015-06-10 00:00:00.005,7554.14,7662.8778,7484.1497,7583.901,0.0
2015-06-11 00:00:00.005,7586.1424,7604.3981,7522.13,7587.6816,0.0
2015-06-12 00:00:00.005,7604.1696,7645.8686,7568.4945,7631.6789,0.0
2015-06-15 00:00:00.005,7645.9021,7656.5355,7490.6116,7498.4754,0.0
2015-06-16 00:00:00.005,7469.3133,7474.1464,7275.2747,7328.7534,0.0
2015-06-17 00:00:00.005,7329.1844,7425.4057,7212.3564,7409.5316,0.0
2015-06-18 00:00:00.005,7376.7776,7378.1783,7184.1302,7196.4187,0.0
2015-06-19 00:00:00.005,7146.8325,7161.7679,6857.6567,6866.4674,0.0
2015-06-23 00:00:00.005,6860.3144,7009.0275,6671.8725,6998.4445,0.0
2015-06-24 00:00:00.005,7023.4502,7106.1106,6957.7844,7101.4292,0.0
2015-06-25 00:00:00.005,7128.7323,7140.397,6885.7086,6923.3545,0.0
2015-06-26 00:00:00.005,6832.9228,6852.011,6421.5501,6487.8925,0.0
2015-06-29 00:00:00.005,6609.7649,6635.6402,6092.1982,6321.9237,0.0
2015-06-30 00:00:00.005,6320.9736,6666.0604,6124.1152,6663.3347,0.0
2015-07-01 00:00:00.005,6586.7971,6678.5114,6372.6063,6391.4706,0.0
2015-07-02 00:00:00.005,6429.4124,6462.5087,6101.9112,6244.0342,0.0
